Company_Name,Start_Date,End_Date,lastPrice,Std_Dev,Beta,avgForcast
PNBHOUSING,2021-01-01,2023-09-29,699.7,0.03166613351056775,1.0975126006578777,877.13
IGARASHI,2021-01-01,2023-09-29,462.05,0.030220945222652475,1.0981842486995916,####
ALPHAGEO,2021-01-01,2023-09-29,365.85,0.03230109452871898,1.098596166073759,####
OPTIEMUS,2021-01-01,2023-09-29,299.0,0.03857568589132237,1.0995230177739497,####
AROGRANITE,2021-01-01,2023-09-29,50.5,0.031994681806154245,1.0997439932290327,####
BANDHANBNK,2021-01-01,2023-09-29,194.9,0.023324271736568078,1.1025602847048548,253.74
BALAMINES,2021-01-01,2023-09-29,2331.65,0.0288705147906433,1.1026905168585466,2754.0
KCPSUGIND,2021-01-01,2023-09-29,37.3,0.03414954255628405,1.1066817012466412,####
RKFORGE,2021-01-01,2023-09-29,726.25,0.027067989916901885,1.1069852667506157,791.0
BLS,2021-01-01,2023-09-29,345.95,0.0348321764828889,1.10720444348951,####
MINDTECK,2021-01-01,2023-09-29,207.65,0.037117952150629525,1.1086430636423217,####
GRSE,2021-01-01,2023-09-29,809.2,0.0323588404762035,1.1090895639871663,741.67
ASHAPURMIN,2021-01-01,2023-09-29,362.9,0.036948696005678884,1.109639442529591,####
MALUPAPER,2021-01-01,2023-09-29,46.0,0.03148609772693203,1.111769742351511,####
TERASOFT,2021-01-01,2023-09-29,57.5,0.03779961806590349,1.112221400460614,####
MONTECARLO,2021-01-01,2023-09-29,677.0,0.030977535018615075,1.1125788942073926,####
ASHOKA,2021-01-01,2023-09-29,165.0,0.02532110893028121,1.1135310567618897,205.33
CELEBRITY,2021-01-01,2023-09-29,16.7,0.03812015671127374,1.114372918892184,####
NIITLTD,2021-01-01,2023-09-29,120.8,0.045351752058140835,1.1147309382005055,120.0
GOLDIAM,2021-01-01,2023-09-29,180.0,0.032188126376730235,1.1156430392613557,237.0
GNFC,2021-01-01,2023-09-29,631.0,0.028603257100395307,1.1160594312802716,####
AJMERA,2021-01-01,2023-09-29,734.9,0.032852129343715515,1.1180455540916747,####
KELLTONTEC,2021-01-01,2023-09-29,113.7,0.03342149122153035,1.1188044418554406,####
DSSL,2021-01-01,2023-09-29,854.3,0.04282686701405279,1.1189366180456124,####
GMDCLTD,2021-01-01,2023-09-29,395.0,0.034707215190671895,1.1191304561290794,170.0
NCC,2021-01-01,2023-09-29,257.85,0.02770404764411434,1.1192802473242274,255.87
IIFLSEC,2021-01-01,2023-09-29,132.8,0.029501975524440574,1.1203723463389113,####
MAZDOCK,2021-01-01,2023-09-29,2085.95,0.03094471591883759,1.1230458832329406,1856.5
DBREALTY,2021-01-01,2023-09-29,281.9,0.03969085415527873,1.1235780636817074,####
SATIN,2021-01-01,2023-09-29,217.95,0.03184150329138203,1.1236435028533054,348.03
PENIND,2021-01-01,2023-09-29,130.4,0.034395097569012746,1.1248498159015892,175.0
REPCOHOME,2021-01-01,2023-09-29,418.45,0.03124202288753039,1.12573620371737,525.13
