Company_Name,Long_Term_Beta,Daily_One_Month_Range,Daily_Three_Month_Range,Weekly_One_Year_Range,Weekly_Two_Year_Range,two_Week_Two_Year_Range,Monthly_Two_Year_Range,1_month_return,12_month_return
ATULAUTO,0.396,3.5,1.24,-0.093,0.989,0.94,-0.153,-9.736162418044156,22.495476261113623
SECURKLOUD,2.78,1.07,0.658,0.836,1.27,0.61,0.887,-9.692897092058386,34.62088185975601
COASTCORP,0.0,2.24,0.995,0.95,0.903,1.34,1.69,-9.690463938053714,31.700438070878896
SUBROS,1.01,3.13,0.816,0.493,0.906,1.34,1.35,-9.644889098518158,78.11319330965898
ITDC,1.07,4.12,1.31,-0.079,1.18,1.21,0.772,-9.6241164848603,127.3195445482698
SVPGLOB,0.0,0.622,0.1,0.571,1.23,0.981,1.54,-9.615384380257815,-29.850745702131555
SGL,2.09,2.92,0.783,0.031,0.576,0.852,1.13,-9.537570469920007,5.3872001111785135
LYPSAGEMS,0.83,1.05,-0.514,-0.345,0.238,-0.584,0.843,-9.48905261922478,42.52873437220989
MEGASOFT,1.65,4.69,2.15,1.47,1.84,2.29,2.49,-9.453781815658116,213.4545343572443
TCPLPACK,0.539,0.481,0.0402,0.596,1.28,1.09,1.75,-9.37099831907722,50.65286758778774
FINOPB,0.0,2.74,1.94,0.132,0.862,0.831,0.768,-9.36588379292129,39.84837224764309
NAHARCAP,1.16,2.04,1.17,0.756,1.2,1.37,0.264,-9.365199732192869,12.66246106543862
VIRINCHI,0.0,2.82,0.688,0.0,0.0,0.0,0.0,-9.362814609585833,-3.8620731748383617
PILANIINVS,1.06,3.93,1.52,1.32,1.03,1.25,1.38,-9.353724191708226,110.48799097035152
TV18BRDCST,1.83,2.36,0.775,1.41,1.62,1.66,1.34,-9.337068293624982,60.76158281638081
GUJAPOLLO,0.36,1.26,1.25,0.456,0.316,0.241,0.115,-9.278354801445293,26.68380148919505
DHRUV,0.0,2.76,0.731,1.26,0.945,0.761,1.25,-9.235936306405714,119.93895242750564
ICDSLTD,0.0,0.46,0.373,2.65,1.16,1.77,2.39,-9.209100453911764,104.39025134575076
AGARIND,1.54,2.95,1.14,0.171,1.24,1.49,2.12,-9.194724667039011,44.723564941132345
ORIENTLTD,1.13,2.15,1.26,0.286,0.56,0.588,0.418,-9.186748660700369,56.623371338947514
SUBEXLTD,2.71,5.0,2.2,1.21,1.8,2.42,3.58,-9.140524281978246,3.4161442486272717
SAGCEM,1.63,3.0,1.21,0.484,1.06,1.05,1.58,-9.113454569075584,18.854431060407624
BEDMUTHA,0.339,1.94,0.677,0.268,0.949,0.541,0.523,-9.104704338047714,261.4655067180765
NEULANDLAB,-0.273,2.37,1.51,0.664,0.883,0.412,0.0131,-9.100833836398108,221.58166701784629
EXCEL,1.55,3.79,1.67,2.19,1.54,1.63,0.667,-9.090911061310528,24.99999813735488
VISESHINFO,-1.93,0.923,2.49,0.311,1.02,1.3,0.634,-9.090911061310528,11.111114054550438
DNAMEDIA,0.0,0.648,0.452,0.594,0.881,0.237,-0.594,-9.090905587972992,69.81131464359662
PRIVISCL,0.487,3.31,0.586,0.336,0.892,0.863,0.811,-9.062606430181646,1.3498810686162952
GLAXO,0.238,1.93,0.455,1.02,0.305,0.206,0.397,-9.033088531888056,52.115571190328694
MANYAVAR,0.0,1.94,0.781,0.805,0.899,0.842,1.05,-9.030450191571465,-19.081469692795626
DOLPHIN,0.0,1.08,0.229,0.0,0.0,0.0,0.0,-8.991658497796626,887.1710850962975
RITES,0.692,5.51,2.34,1.84,1.09,1.07,0.795,-8.952123982132834,107.4249842661921
SBFC,0.0,3.48,1.2,0.0,0.0,0.0,0.0,-8.94708613324061,-9.490238925834174
NAZARA,0.0,2.19,1.44,0.537,1.33,1.34,0.0204,-8.932700504015125,22.19282276032776
TVSMOTOR,0.904,1.29,1.07,1.4,0.793,0.845,0.627,-8.913949554330463,90.61257583592534
AARVEEDEN,1.41,3.82,1.57,0.891,0.873,1.17,0.923,-8.848085002916111,16.41790340666282
BAIDFIN,0.0,3.54,2.14,0.637,0.0,0.0,0.0,-8.8477353334697,-37.605634877379515
SILINV,0.733,3.34,1.23,1.26,1.19,0.94,0.781,-8.81333899701633,74.7903489389544
SADBHIN,0.978,0.934,0.36,0.467,1.36,1.55,2.01,-8.805029258608771,101.38889422387268
BGRENERGY,2.82,2.02,2.34,0.731,1.2,1.7,2.05,-8.75386213550292,-11.48851166363714
LATTEYS,0.0,-0.39,0.563,1.1,0.0,0.0,0.0,-8.707861255596944,-37.5
VINATIORGA,0.468,0.238,0.477,0.309,1.03,0.94,0.78,-8.572397211015684,-17.407035911723153
TIJARIA,0.625,-0.51,1.05,1.1,0.506,0.329,0.564,-8.56164361191727,184.04257283484975
KAMDHENU,1.8,3.45,1.5,0.716,0.956,0.592,1.32,-8.55785784041608,46.882393798468534
BPCL,1.04,2.29,1.57,1.05,0.957,0.89,1.26,-8.471549441506065,90.59341870890093
JAIPURKURT,0.0,5.25,0.507,-0.958,-0.0131,-0.676,-0.086,-8.46877792699368,-39.1699808341275
COFORGE,0.963,0.517,0.739,1.41,1.4,1.59,1.05,-8.446995962458518,43.960900969726694
NURECA,0.0,1.64,1.5,0.468,1.02,1.22,0.732,-8.429413620274019,-12.073610002898349
JHS,1.72,2.22,1.55,0.902,0.898,0.702,1.74,-8.37320589445572,17.484665735381224
HFCL,1.86,4.95,2.37,0.77,1.31,1.43,2.29,-8.371873774382921,60.97108748099558
PATELENG,2.02,4.24,2.24,2.32,2.18,1.9,2.26,-8.345639535997558,312.2923485094704
JAYSREETEA,0.708,3.22,2.36,0.448,0.739,0.866,0.75,-8.333337257918945,26.07641091059904
EMAMIPAP,1.3,2.69,1.83,0.159,1.01,1.0,1.26,-8.297630423705701,1.46551461055361
SPCENET,0.0,5.3,2.62,1.19,1.41,1.92,4.38,-8.296939157852513,97.49216537107468
MANGALAM,0.175,4.3,1.68,0.519,0.609,0.672,0.495,-8.2673651264594,-7.943512583921654
SOUTHBANK,1.1,2.25,1.55,0.62,0.979,0.678,0.812,-8.255444975544343,95.25322040214726
SAKAR,0.934,3.73,1.79,-0.367,0.596,-0.066,1.09,-8.22871500398151,66.35872196945243
KRISHANA,0.0,1.33,0.739,-0.252,0.255,0.57,0.39,-8.223939402223094,-2.5320361052825473
BOHRAIND,0.0,0.0338,0.436,0.739,0.0,0.0,0.0,-8.163262128531947,-74.28571428571429
KNRCON,0.953,2.06,1.12,0.459,0.945,0.908,0.593,-8.145116270184179,1.7459951128512703
ANANDRATHI,0.0,1.19,0.326,-0.38,0.216,0.204,0.289,-8.144858004323355,353.30857889896816
NGIL,0.0,4.73,2.16,0.226,0.755,1.21,0.288,-8.068670837664298,-1.250015212260808
KHAICHEM,0.0,3.17,1.67,0.124,1.25,1.05,0.0334,-8.06753870474538,-2.5198958719208844
ARSSINFRA,1.1,2.17,0.403,0.615,0.772,0.733,1.57,-8.057854138276465,-4.914528364434664
MGL,1.01,2.55,1.05,1.43,0.975,1.06,0.634,-7.997960348125749,54.06679782715492
ASTRON,1.19,2.02,0.902,1.03,1.13,1.48,0.729,-7.984785304335251,-1.8255531949482884
SHRADHA,0.0,5.68,1.35,1.21,1.21,0.526,0.673,-7.978355834975622,72.71573709727109
ROLEXRINGS,0.0,2.0,0.46,0.88,1.11,0.731,-0.295,-7.9484149085714675,-7.858053090579538
INFY,0.719,0.783,0.712,0.859,1.06,1.37,0.839,-7.930284744105975,6.661688388169808
DIAMONDYD,0.815,1.43,0.416,0.327,0.586,0.455,0.989,-7.883375373662547,27.067068260056427
