Company_Name,Return,LTP,NIFTY50
DONEAR,-5.852231293779024,128.7,False
RADHIKAJWE,-5.848623265528299,57.47,False
BKMINDST,-5.844150415498571,1.45,False
UGROCAP,-5.834248620302653,259.05,False
INNOVATIVE,-5.833333259158665,,False
SYRMA,-5.822324189009691,470.7,False
ALLSEC,-5.819275285171265,1080.3,False
CARERATING,-5.79989333561178,1001.3,False
INDOSTAR,-5.79642437419099,243.13,False
JWL,-5.782632243440478,641.95,False
GREENPLY,-5.773098468103485,304.4,False
NETWEB,-5.771382551530218,2440.05,False
AVROIND,-5.760406928709043,110.92,False
KRIDHANINF,-5.760368461068555,4.09,False
ASTRAMICRO,-5.740979786448871,907.95,False
ADANIPOWER,-5.728212755599435,696.15,False
MAHSEAMLES,-5.709444423610776,639.95,False
SMLT,-5.702757753688579,189.33,False
MAGNUM,-5.67769287465471,49.34,False
CENTURYTEX,-5.674006724499717,2192.3,False
VIPIND,-5.66134843026248,458.25,False
TOUCHWOOD,-5.6370371814257165,139.61,False
DCMSRIND,-5.608516508142362,212.9,False
DUCON,-5.60509633841905,7.41,False
FINOPB,-5.600895924562933,294.95,False
HITECHGEAR,-5.575780325244435,907.7,False
EQUIPPP,-5.55130442707141,24.67,False
PNB,-5.524902894039745,118.16,False
RBLBANK,-5.521782572895177,242.45,False
MOL,-5.50631712625589,79.97,False
NETWORK18,-5.4776287139792466,78.17,False
BALPHARMA,-5.461869286755642,112.68,False
HONAUT,-5.436598937188356,54096.65,False
GTPL,-5.427476338226475,163.27,False
WSTCSTPAPR,-5.418468656994048,655.45,False
PROZONER,-5.414714892876258,30.22,False
INDRAMEDCO,-5.397477734346135,238.72,False
MAITHANALL,-5.3848942313245995,1165.8,False
VASCONEQ,-5.3846221562671985,71.34,False
BINANIIND,-5.377007843941634,15.31,False
VERTOZ,-5.366653181784511,34.65,False
BORORENEW,-5.364893926436144,479.8,False
YATRA,-5.361325721324307,121.27,False
ADANIGREEN,-5.357683498991127,1715.25,False
EMIL,-5.356274406875222,213.98,False
KIOCL,-5.350281430464833,443.15,False
TRU,-5.348361990074439,46.19,False
HPIL,-5.345858076084506,157.23,False
MOLDTECH,-5.332536338190158,252.8,False
GIPCL,-5.324952902906728,239.49,False
UNITEDPOLY,-5.31475949088179,84.98,False
RGL,-5.306514209345175,98.86,False
VENUSPIPES,-5.285847626872316,2097.35,False
SALONA,-5.281117762538935,291.45,False
CREATIVE,-5.27740338460171,735.0,False
SCHAND,-5.274452587013354,229.52,False
AUSOMENT,-5.2708911756245165,90.22,False
VADILALIND,-5.267517121699257,4123.8,False
IMAGICAA,-5.260491263767774,74.74,False
BALAJITELE,-5.227829667805863,66.35,False
GOKULAGRO,-5.225018990347531,167.42,False
ROLEXRINGS,-5.217827690972222,2371.45,False
ASTRAL,-5.208855739752063,2260.2,False
SOMANYCERA,-5.208463833988134,738.9,False
MAHASTEEL,-5.207045275389542,99.58,False
GPIL,-5.169141650768759,1075.05,False
GREENLAM,-5.168208747579003,583.5,False
TEXINFRA,-5.1442917839831255,128.52,False
MSTCLTD,-5.140952559466435,839.55,False
