Company_Name,Return,LTP,NIFTY50
DSKULKARNI,0.0,,False
ATNINTER,0.0,,False
KSK,0.0,,False
CANDC,0.0,,False
IVRCLINFRA,0.0,,False
HEADSUP,0.0,12.15,False
CELESTIAL,0.0,,False
DHARSUGAR,0.0,,False
AHLWEST,0.0,,False
BLUEBLENDS,0.0,,False
VIDEOIND,0.0,,False
AIFL,0.0,,False
EUROCERA,0.0,,False
LAKSHMIEFL,0.0,,False
UNITY,0.0,,False
ZICOM,0.0,,False
ASIL,0.0,,False
TALWGYM,0.0,,False
MARKER0,0.0,,
METKORE,0.0,,False
SHIRPUR-G,0.0,,False
UJJIVAN,0.0,591.0,False
JINDCOT,0.0,,False
TATAMETALI,0.0,,
SATHAISPAT,0.0,,False
MCDHOLDING,0.0,,False
OPTOCIRCUI,0.0,,False
MVL,0.0,,False
RMMIL,0.0,,False
DQE,0.0,,False
CKFSL,0.0,,False
TECHNOFAB,0.0,,False
ALCHEM,0.0,,False
NUTEK,0.0,,False
ARCOTECH,0.0,,False
KSERASERA,0.0,,False
UNIPLY,0.0,,False
NITINFIRE,0.0,,False
BILENERGY,0.0,,False
BRFL,0.0,,False
EON,0.0,,False
JPINFRATEC,0.0,,False
EUROMULTI,0.0,,False
ICSA,0.0,,False
MANPASAND,0.0,,False
GITANJALI,0.0,,False
JAINSTUDIO,0.0,,False
ATLASCYCLE,0.0,,False
GAYAPROJ,0.0,7.4,False
BTML,0.036806142266305,13.59,False
ASTEC,0.1425837773968066,1264.25,False
MOL,0.1478682870378422,81.27,False
TEMBO,0.3679569409788549,223.67,False
INDOCO,0.402659987112385,324.15,False
EROSMEDIA,0.4800008138020833,18.84,False
CCL,0.655522766302873,614.2,False
SANGINITA,0.9356828598721028,17.26,False
GODHA,0.9999990463256836,1.01,False
IEL,1.020402304583135,9.9,False
SANGHIIND,1.0830691859339634,96.13,False
AARVI,1.204166361903133,131.11,False
KHANDSE,1.2065810570505051,27.68,False
NEOGEN,1.2192033194880325,1606.45,False
SYNGENE,1.2938510193715802,786.8,False
INDORAMA,1.32138887441231,45.24,False
GMMPFAUDLR,1.3489934638158394,1450.0,False
VENKEYS,1.384524227065347,1936.85,False
LAMBODHARA,1.403957307526525,156.01,False
GATECH,1.6666650109821552,1.22,False
DCBBANK,1.720001220703125,127.15,False
PGHL,1.801831817861289,5251.6,False
RSYSTEMS,1.825291976025731,468.6,False
UGROCAP,1.8518518518518516,261.25,False
INDIAMART,1.8568649077738064,2992.3,False
JAGSNPHARM,1.8764938951036876,382.75,False
KANORICHEM,1.91802978515625,124.34,False
SIGMA,1.94150287317206,409.55,False
TMB,2.06657727298171,456.85,False
SPARC,2.1836968534193084,226.95,False
JHS,2.2170879939669637,22.13,False
ROHLTD,2.3300701233991745,344.75,False
AARTISURF,2.394588352103222,643.55,False
GHCL,2.3957834211787254,534.25,False
UNIENTER,2.3990060638752473,164.76,False
EASEMYTRIP,2.4000040690104165,42.24,False
ASTRON,2.4652121218188325,25.77,False
MANGALAM,2.495273453212415,108.44,False
VISESHINFO,2.4999975785613424,0.41,False
SULA,2.5254611811146246,493.25,False
GLOBAL,2.5288135731236547,169.07,False
IGARASHI,2.539374884657972,520.9,False
EIFFL,2.7605484824764317,147.41,False
ICRA,2.7646704569271296,5674.1,False
AHLEAST,2.7925459636963095,129.57,False
HNDFDS,2.9486107753695494,590.05,False
ISFT,3.0167181129006564,135.57,False
RBLBANK,3.090010659285595,230.2,False
CAMPUS,3.1380486720497687,308.95,False
DIAMONDYD,3.1913623968539007,864.95,False
TV18BRDCST,3.225804619532216,41.6,False
SANCO,3.225806451612903,8.0,False
VSCL,3.3333301544189453,,False
PPAP,3.3908908029826135,215.57,False
SCPL,3.4757182220048275,442.1,False
AVADHSUGAR,3.4844668345927787,616.25,False
BALAMINES,3.6433232513979874,2272.95,False
SURYODAY,3.6726468060591073,179.25,False
TRIGYN,3.735500167870278,134.13,False
KSOLVES,3.7557113332994088,1067.75,False
VIPCLOTHNG,3.762598539223032,46.33,False
HITECHCORP,3.780058028700944,248.19,False
JPASSOCIAT,3.846156197421827,8.1,False
PRINCEPIPE,3.866420684798765,670.25,False
BBTCL,3.9468025342550312,242.3,False
NAVNETEDUL,3.968953847491204,154.03,False
DALMIASUG,3.989535644211903,397.5,False
BOROLTD,3.9901386818530007,370.5,False
SOMANYCERA,4.231504372520082,763.6,False
SECMARK,4.259163113373125,98.16,False
SATINDLTD,4.413149112439129,100.08,False
STEELXIND,4.532375048421271,14.53,False
PYRAMID,4.643963007849709,185.9,False
HDFCLIFE,4.809763302887858,683.15,True
AMDIND,4.820349467370064,70.02,False
CENTURYPLY,4.886144715272044,695.5,False
MAITHANALL,4.920424872556877,1147.2,False
CEATLTD,4.924186823100155,2598.5,False
ASTERDM,4.9315029147361,325.55,False
UCAL,4.983949850817649,163.46,False
NIRAJISPAT,4.991766699061949,,False
NELCO,5.09713422381452,819.6,False
AKI,5.1162808440452405,22.6,False
5PAISA,5.1250965089410485,476.9,False
HINDUNILVR,5.414405471472864,2707.2,True
ANDHRSUGAR,5.415162305724152,116.8,False
3RDROCK,5.555551746398929,,False
RUPA,5.610622651039749,282.35,False
EMAMIPAP,5.6436379324149435,134.59,False
PLAZACABLE,5.66084923726029,84.74,False
AKZOINDIA,5.941629259584382,2802.05,False
BAJAJHCARE,5.959218630831797,368.95,False
ITC,5.980970180437248,489.95,True
RENUKA,6.040128199612681,50.21,False
BINANIIND,6.3265327703584,15.63,False
GANGAFORGE,6.470581882965372,7.24,False
KOLTEPATIL,6.609309584230508,408.9,False
UNIDT,6.666668503277075,236.32,False
TECILCHEM,6.733669237561811,21.24,False
LXCHEM,6.747749163939261,272.1,False
BALAXI,6.7934517792883,108.94,False
IFBAGRO,6.98590480124623,584.25,False
SKFINDIA,7.055681989972559,5622.35,False
FIVESTAR,7.157136776666076,723.9,False
HERANBA,7.206453627248581,385.3,False
GALAXYSURF,7.220677324767996,2863.65,False
TATACHEM,7.225460787019344,1047.7,False
GAEL,7.265017298975746,139.23,False
SUBEXLTD,7.281401780523551,33.74,False
RANASUG,7.41525411742818,25.35,False
ARSHIYA,7.47252003292377,4.89,False
ROLEXRINGS,7.594112991706813,2410.7,False
SALONA,7.716445791216504,291.75,False
ONMOBILE,7.77996406040482,82.29,False
BLUEJET,7.982583572137939,446.4,False
YASHO,8.00078704933216,1935.05,False
ADFFOODS,8.033636831180168,232.51,False
DELTAMAGNT,8.099174566137846,91.56,False
SIMBHALS,8.218618285804832,26.73,False
SALSTEEL,8.238474187319616,19.97,False
RAINBOW,8.245770907682452,1148.65,False
KAKATCEM,8.340701726725287,232.77,False
VSTIND,8.35753356809251,3992.0,False
XCHANGING,8.359528304776253,134.42,False
HIL,8.465743499394646,3099.3,False
BHAGERIA,8.479842413926262,164.13,False
KIMS,8.522284658452694,2141.85,False
BLUEDART,8.588656876471576,7768.65,False
NARMADA,8.637523557470814,21.13,False
USHAMART,8.690460078570117,363.95,False
MOLDTECH,8.870793403390584,254.05,False
SATIN,8.906177732626993,224.02,False
NESTLEIND,8.929906151302882,2480.65,True
SHREYAS,9.043075894738568,393.7,False
STERTOOLS,9.050101681074064,376.55,False
GUJAPOLLO,9.09840429214655,277.71,False
MANUGRAPH,9.234828124241968,20.7,False
JSWSTEEL,9.237400953674808,874.5,True
RELINFRA,9.463471529598698,191.78,False
BROOKS,9.480047064089268,91.74,False
APOLSINHOT,9.57305337224083,1435.9,False
3IINFOLTD,9.601182116698412,37.1,False
MIRCELECTR,9.781023374720789,22.56,False
DUCON,9.801321224154004,8.29,False
AAVAS,9.81626995040142,1778.2,False
GANESHBE,9.853437599976706,176.15,False
MADHAV,9.87074227555168,46.75,False
BODALCHEM,9.928272742219058,76.62,False
EUROTEXIND,10.039529613133896,13.92,False
BORORENEW,10.106388225808606,538.2,False
WHEELS,10.108328239768268,843.65,False
AARON,10.258563493946331,262.25,False
DTIL,10.266602729153572,235.75,False
IONEXCHANG,10.318192097729272,663.95,False
MAWANASUG,10.402682796410746,115.15,False
TRACXN,10.470039743677445,94.01,False
ANSALAPI,10.659332666949066,10.07,False
LYKALABS,10.664793131259158,118.19,False
APCL,10.706907610062006,203.59,False
RUBYMILLS,10.741529420108908,233.72,False
TOKYOPLAST,10.766281321349728,115.64,False
SRF,10.891360867602256,2399.8,False
DABUR,11.058333653713776,631.2,False
PAGEIND,11.087290819679051,41320.25,False
NAHARCAP,11.168478255161205,323.0,False
UDS,11.183515562728996,315.65,False
ATUL,11.210135487513966,7300.0,False
CHEVIOT,11.378283216577604,1373.35,False
HCG,11.40405235350039,357.05,False
XPROINDIA,11.42778659471472,1010.65,False
GROBTEA,11.437284613323166,968.0,False
VIDHIING,11.485712014513863,434.85,False
SUPERHOUSE,11.56436147563674,233.56,False
TAKE,11.57304191902426,19.86,False
WIPL,11.61199768174052,158.21,False
DAMODARIND,11.758238404661745,50.85,False
MANKIND,11.771903143917305,2144.4,False
CERA,11.883655944378962,8780.35,False
BALRAMCHIN,11.978964607250356,447.3,False
DEVIT,12.00000143331091,143.08,False
AMIORG,12.069190481601415,1299.05,False
PIIND,12.166454115009644,4008.1,False
FINEORG,12.177980605632868,5234.0,False
LAXMIMACH,12.21796363991728,15587.3,False
GRMOVER,12.225274725274724,204.25,False
INDOTHAI,12.23436894976594,272.0,False
SETUINFRA,12.307699361496685,0.73,False
AGI,12.35022178221067,778.25,False
BASML,12.41455624596765,50.98,False
GENCON,12.424560490104056,54.02,False
PANACEABIO,12.4373177670691,136.78,False
TITAN,12.4397507041309,3405.8,True
CRISIL,12.497526874629031,4264.5,False
GSPL,12.53428910423061,328.15,False
VINEETLAB,12.71653382183486,57.26,False
IOLCP,12.742678159812632,412.3,False
CRAFTSMAN,12.789552311098957,5207.55,False
ADORWELD,12.844703428705204,1393.35,False
SUNFLAG,12.896398595861486,250.63,False
IGL,12.952603587898196,535.0,False
CENTUM,12.962962962962962,1616.5,False
SATIA,12.970026318986166,124.38,False
ATL,13.084520711964052,51.51,False
DATAMATICS,13.08646223088932,629.1,False
TRIDENT,13.212123061671402,37.36,False
BANSWRAS,13.355661107718566,169.24,False
ACL,13.383458766055488,,False
SAPPHIRE,13.506041717415991,1579.55,False
